ID	VALUE
220399_at	28.60341066
1557055_s_at	175.2730338
227201_at	49.57692691
231942_at	26.19875427
235497_at	42.99335438
236624_at	60.68706043
237011_at	17.00527202
1560477_a_at	248.8943591
1559139_at	123.7041491
202115_s_at	246.7352155
225834_at	2238.700505
1555650_at	103.76062
229792_at	70.03525973
224125_at	103.2753971
205483_s_at	323.4354133
212283_at	74.27475895
212285_s_at	128.0015491
217410_at	85.60648598
217419_x_at	158.2467437
219337_at	75.08943922
223851_s_at	18.82334907
224553_s_at	31.18047534
208023_at	29.55146447
214228_x_at	45.3946968
217855_x_at	855.8274969
221972_s_at	485.9803997
224472_x_at	819.6062717
232032_x_at	1446.274867
1553959_a_at	1156.415724
225733_at	361.7278906
226427_s_at	15.54596806
243292_at	48.99168614
224347_x_at	176.2730338
225209_s_at	711.6416069
226704_at	83.08221189
230929_s_at	51.67637224
225529_at	161.7174782
225542_at	94.43744486
228733_at	236.8555987
217994_x_at	386.0498015
224312_x_at	403.8727729
232437_at	129.7174782
233563_s_at	361.0508116
233625_x_at	411.0994851
203230_at	249.904964
213422_s_at	49.90292385
228576_s_at	40.17133509
221427_s_at	618.0406428
222999_s_at	1815.608288
225552_x_at	1516.800894
225555_x_at	67.45720522
227546_x_at	518.9877207
228800_x_at	46.18942162
232274_at	132.495256
224803_s_at	17.31960239
225920_at	360.7852589
220526_s_at	3045.320055
220527_at	46.46625796
225934_at	42.63707657
1556181_at	32.78562895
1556182_x_at	34.22597387
230160_x_at	117.978965
218731_s_at	59.80488165
222723_at	37.11115361
222724_at	28.2705458
225983_s_at	10.74663892
228651_at	51.75640278
1552641_s_at	168.0702244
223617_x_at	388.2904296
227237_x_at	394.8450912
233091_at	32.8425066
240210_at	32.70018814
219068_x_at	251.4623078
227700_x_at	463.1535101
223051_at	1626.671171
223052_x_at	34.43224868
223053_x_at	893.495256
226229_s_at	131.8350963
227244_s_at	23.33017756
226644_at	62.95614875
228261_at	44.98354358
241377_s_at	29.55146447
241378_at	24.90781201
241541_at	55.96486942
207118_s_at	17.0219417
215169_at	52.39900751
217122_s_at	2395.9397
207428_x_at	315.1619227
210474_s_at	168.0508116
211289_x_at	238.2657339
212401_s_at	707.9626258
215329_s_at	311.8048573
230694_at	13.21669345
208917_x_at	124.1619227
208918_s_at	897.0508116
208919_s_at	628.07307
213607_x_at	216.678559
213613_s_at	49.21186278
215159_s_at	78.40353274
200744_s_at	1731.311409
200745_s_at	2416.495256
200746_s_at	2984.443308
1552402_at	14.17900856
230467_at	38.72271141
215788_at	82.50833566
216781_at	23.1159851
216807_at	32.09759252
208457_at	53.54122643
230255_at	19.9499227
1562675_at	58.3973212
1556309_s_at	54.54942826
1558544_at	33.36153431
228197_at	48.12560535
229113_s_at	310.6063671
230649_at	46.12056183
236498_s_at	24.28597401
