"ID","Gene symbol"
"A_21_P0005215","XLOC_005991"
"A_32_P57810","RNF157"
"A_21_P0002212","LOC100506235"
"A_23_P214678","CUTA"
"A_24_P11575","CRIM1"
"A_33_P3368034",""
"A_21_P0008281","XLOC_011080"
"A_33_P3240972","LOC100134285"
"A_21_P0004440","XLOC_004988"
"A_23_P106463","OAZ2"
"A_24_P153043","RPL23AP7"
"(+)E1A_r60_a22",""
"A_23_P36187","SYT8"
"A_21_P0009102","MMP2"
"A_24_P149395","WIPI2"
"A_21_P0012208","XLOC_l2_009273"
"A_21_P0013981","CHRM3"
"A_21_P0010346","XLOC_014183"
"A_23_P104563","CPT1A"
"A_19_P00801041","GNASAS"
"A_23_P82762","ZNF596"
"A_24_P336577","C1orf183"
"A_33_P3368144",""
"A_33_P3253583","OR8B4"
"A_33_P3317282","NUS1"
"A_33_P3341269",""
"A_33_P3500167","ACAN"
"A_21_P0013408","XLOC_l2_013648"
"A_33_P3384108","SLC19A1"
"A_33_P3340264","OTOG"
"A_21_P0013519","XLOC_l2_014565"
"A_23_P36531","TSPAN8"
"A_21_P0007963","XLOC_010491"
"A_33_P3236030","ARHGAP24"
"A_21_P0009956","XLOC_013528"
"A_21_P0001650","XLOC_001281"
"A_21_P0008718","XLOC_011421"
"A_33_P3273459","SPATA21"
"A_24_P383850","EIF4G3"
"A_23_P354791","NAV2"
"A_23_P59153","LSM2"
"A_23_P103110","MAFF"
"A_23_P344853","WDR43"
"A_24_P134235","KHSRP"
"A_33_P3218772","UPF2"
"A_23_P53646","NAP1L1"
"A_23_P431505","XKR6"
"A_21_P0006221","XLOC_007543"
"A_21_P0007314","XLOC_009365"
"A_21_P0009162","XLOC_012139"
"A_21_P0010290","XLOC_014105"
"A_23_P319783","SPAG17"
"A_23_P103442","MEAF6"
"A_21_P0011627","XLOC_l2_005871"
"A_21_P0009225","XLOC_012116"
"A_21_P0012192","XLOC_l2_009172"
"A_21_P0008647","LOC145837"
"A_33_P3230976","PREP"
"A_23_P106675","PLCG2"
"A_33_P3259954",""
"A_19_P00321284","LOC100287765"
"A_33_P3233620",""
"A_23_P72096","IL1A"
"A_32_P231086","GOLGA6L9"
"A_23_P7535","HRH2"
"A_32_P60606",""
"A_23_P31073","MYB"
"A_32_P85591","H2BFXP"
"A_21_P0012632","XLOC_l2_010936"
"A_33_P3318002","PCDHA4"
"A_23_P345710","XXYLT1"
"A_33_P3331085","SEC24A"
"A_21_P0000144","LOC100505478"
"A_23_P110961","BRP44L"
"A_24_P251734","FSTL5"
"A_23_P166122","POLR3F"
"A_24_P817863","UNC80"
"A_23_P113803","KATNA1"
"A_33_P3237364","LOC729032"
"A_24_P401090",""
"A_23_P123727","ZCCHC6"
"A_23_P213518","CAST"
"A_23_P112113","KIAA0196"
"A_33_P3292402","LRRIQ3"
"A_33_P3291776","NANS"
"A_33_P3337569","C4orf40"
"A_33_P3222744","ZNF117"
"A_24_P3415","PPP2R2C"
"A_33_P3240234",""
"A_23_P362228","C1orf213"
"A_23_P108376","THADA"
"A_24_P782308","NEDD4L"
"A_21_P0003880","XLOC_003840"
"A_33_P3846177","B4GALNT1"
"A_33_P3271634","HLA-DPB1"
"A_23_P59388","DST"
"A_23_P109774","ZBTB11"
"A_21_P0012394","XLOC_l2_009886"
"A_33_P3238290","FAM65C"
"A_23_P99891","MESDC1"
