"ID","Gene symbol"
"A_19_P00315528","XLOC_008370"
"A_21_P0007707","XLOC_010069"
"A_33_P3303594","PRAMEF11"
"A_19_P00320499","XLOC_l2_012721"
"A_21_P0008984","XLOC_011809"
"A_21_P0010378","XLOC_014348"
"A_33_P3292646","C10orf112"
"A_21_P0006363","XLOC_007505"
"A_19_P00320120","TUG1"
"A_23_P92520","ANP32C"
"A_21_P0001101","XLOC_000708"
"A_21_P0005151","XLOC_005572"
"A_23_P350396","CDSN"
"A_21_P0007505","XLOC_009920"
"A_24_P350261",""
"A_21_P0013639","XLOC_l2_015196"
"A_24_P212234","SLC6A18"
"A_24_P372217","ERLIN2"
"A_33_P3335022",""
"A_23_P200493","LBR"
"A_21_P0006921","XLOC_008633"
"A_21_P0008716","XLOC_011413"
"A_32_P96000","ETV3L"
"A_23_P161615","POLA2"
"A_21_P0002685","XLOC_002420"
"A_21_P0011851","RHOQ"
"A_33_P3373214","ZHX1-C8ORF76"
"A_23_P144896","PDLIM7"
"A_33_P3424472","TNPO3"
"A_33_P3361417","C6orf57"
"A_21_P0000108","MTRNR2L8"
"A_21_P0000804","LOC100506783"
"A_21_P0010792","XLOC_l2_001382"
"A_33_P3237819",""
"A_21_P0008765","XLOC_011545"
"A_24_P940135","CTBS"
"A_21_P0011786","XLOC_l2_007167"
"A_23_P305550","GPR35"
"A_21_P0001797","XLOC_002406"
"A_19_P00319776","LINC00277"
"A_21_P0000858","LOC100506207"
"A_24_P89509","TRMT11"
"A_33_P3315944","FIGLA"
"A_33_P3260989","TAS1R3"
"A_24_P126262","BAGE4"
"A_23_P41365","SMR3A"
"A_23_P411761","CABP1"
"A_21_P0005862","XLOC_007131"
"A_33_P3287939","C7orf46"
"A_21_P0006155","XLOC_007407"
"A_21_P0002483","LOC100506473"
"A_24_P163920","FAR1"
"A_24_P416289","KIAA0195"
"A_33_P3274319","TMEM52"
"A_23_P35349","SVIL"
"A_33_P3375466","GPLD1"
"A_33_P3226479","CSN1S2BP"
"A_19_P00318728","LOC339894"
"A_21_P0009470","XLOC_012648"
"A_33_P3212989","DLX6-AS1"
"A_23_P15450","TMEM100"
"A_24_P82106","MMP14"
"A_24_P75157","TCP10"
"A_21_P0011456","PLA2G10"
"A_21_P0009730","LOC386758"
"A_33_P3422888","CLEC16A"
"A_21_P0010975","XLOC_l2_002311"
"A_33_P3392525","ARL4D"
"A_23_P90453","KRTDAP"
"A_23_P65618","TGM1"
"A_21_P0005498","XLOC_006457"
"A_33_P3394312","OR2A2"
"A_33_P3323742","PNRC2"
"A_21_P0013803","XLOC_l2_015659"
"A_23_P204324","DNM1L"
"A_21_P0003740","XLOC_003934"
"A_33_P3295253","LMOD3"
"A_21_P0001696","XLOC_000318"
"A_23_P207245","TEKT3"
"A_33_P3355732","UMODL1"
"A_23_P395534","RSC1A1"
"A_24_P729905","AGAP7"
"A_23_P205200","DHRS12"
"A_23_P345707","C15orf42"
"A_33_P3352148","AGAP2"
"A_23_P151459","MYCBP2"
"A_33_P3289248",""
"A_33_P3412087","C6orf97"
"A_33_P3815560","WDR6"
"A_24_P320526","C6orf106"
"A_33_P3239879","LSMD1"
"A_21_P0002189","XLOC_001406"
"A_21_P0013421","XLOC_l2_013808"
"A_21_P0004973","XLOC_005549"
"A_21_P0003903","XLOC_004134"
"A_23_P387585","LINC00246A"
"A_33_P3314352",""
"A_23_P78849","SYT5"
"A_21_P0005139","XLOC_005492"
"A_33_P3380211","AKAP9"
"A_23_P55586","CDH20"
"A_21_P0013090","XLOC_l2_013099"
"A_24_P32766",""
"A_33_P3314401","CLDN16"
"A_33_P3406547",""
"A_33_P3210146","PRR9"
"A_23_P303210","IKBIP"
"A_23_P34031","XAGE2B"
"A_32_P48949","C9orf129"
"A_33_P3243008","KCNU1"
"A_21_P0011349","HERC2"
"A_23_P152727","PLEKHM1"
"A_24_P82419","H3F3B"
"A_21_P0005513","XLOC_006525"
"A_23_P76374","SYCP3"
"A_21_P0012499","XLOC_l2_009867"
"A_21_P0003887","XLOC_003863"
"A_21_P0006725","LOC100652988"
"A_21_P0006876","XLOC_008495"
"A_21_P0014667","LOC100509635"
"A_23_P430168","ICA1L"
"A_21_P0001947","XLOC_001779"
"A_33_P3292060","ZNF331"
"A_21_P0005782","XLOC_006972"
"A_21_P0012553","XLOC_l2_010415"
"A_21_P0003309","XLOC_003354"
"A_23_P146855","MPPED1"
"A_23_P218463","SERTAD1"
"A_33_P3380793","C22orf34"
"A_21_P0004164","XLOC_004944"
"A_24_P384397","RAVER1"
"A_24_P100551","SH3RF1"
"A_21_P0005250","LOC100506507"
"A_33_P3297030","LOC100129974"
"A_21_P0007083","XLOC_008644"
"A_21_P0013436","XLOC_l2_013873"
"A_33_P3261222","MTMR7"
"A_33_P3218832","RIMS1"
"A_33_P3245784","ZNF620"
"A_24_P135875","LOC442421"
"A_33_P3312611","LOC643723"
"A_21_P0008835","XLOC_011316"
"A_21_P0012996","XLOC_l2_012103"
"A_33_P3314810",""
"A_23_P173","CASQ1"
"A_23_P13094","MMP10"
"A_24_P111996","HFE"
"A_24_P142269","HIRIP3"
"A_24_P304723","PPIB"
"A_33_P3367681",""
"A_21_P0007782","XLOC_010242"
"A_33_P3326588","TNFRSF10D"
"A_33_P3395074","PLSCR3"
"A_21_P0009586","XLOC_012891"
"A_33_P3413993","SERPING1"
"A_32_P209208","CAPS2"
"A_23_P52227","GDF10"
"A_21_P0003451","XLOC_003907"
"A_32_P934840","C8orf34"
"A_23_P10685","HSPBP1"
"A_33_P3231140","ANKRD50"
"A_24_P125839","C21orf91"
"A_33_P3320212",""
"A_21_P0012256","XLOC_l2_009319"
"A_33_P3371320","BRE"
"A_24_P322611","DIDO1"
"A_23_P431252","KBTBD8"
"A_32_P10396","WDFY3"
"A_24_P169544","ZNF17"
"A_23_P112512","MCART1"
"A_21_P0002918","XLOC_003367"
"A_33_P3214670","HK2"
"A_23_P29394","ATP13A4"
"A_21_P0012856","XLOC_l2_011798"
"A_33_P3283126","CCDC64"
"A_21_P0007404","XLOC_009563"
"A_21_P0013028","XLOC_l2_012605"
"A_33_P3235420","RASSF6"
"A_33_P3390539","GYLTL1B"
"A_23_P29365","RYBP"
"A_24_P10226","SEMA6D"
"A_33_P3296497","PTPRK"
"A_21_P0004867","XLOC_005217"
"A_23_P3177","KCNK13"
"A_23_P156390","JAKMIP2"
"A_33_P3221483",""
"A_33_P3263287","LOC100129111"
"A_24_P128563","KPNA6"
"A_33_P3228271","CST3"
"A_23_P110699","ZNF300"
"A_23_P25121","FKBP11"
"A_21_P0008238","XLOC_010419"
"A_33_P3236642","MIA3"
"A_21_P0005108","XLOC_005174"
"A_21_P0012327","XLOC_l2_009441"
"A_21_P0008340","XLOC_010840"
"A_33_P3625314","LOC440704"
"A_33_P3321682",""
"A_33_P3321205","BEGAIN"
"A_19_P00808452","SHANK2"
"A_24_P215628","DCUN1D2"
"A_33_P3763846","MAPK12"
"A_23_P376036","EXD1"
"A_23_P165989","NEURL2"
"A_33_P3220853",""
"A_32_P101301","USP39"
"A_23_P3663","FAM195A"
"A_21_P0004153","XLOC_004925"
"A_21_P0008723","XLOC_011430"
"A_23_P78504","USP29"
"A_24_P63347","PF4V1"
"A_23_P129458","SDR42E1"
"A_33_P3351536","PTK2B"
"A_21_P0004679","XLOC_005430"
"A_23_P32903","OCRL"
"A_33_P3264846","SAMD9L"
"A_24_P61753","KIAA0664"
"A_21_P0001926","XLOC_001707"
"A_33_P3325685","C18orf62"
"A_19_P00318418","TBXAS1"
"A_32_P41604","F5"
"A_32_P205637","PARD6B"
"A_21_P0006629","XLOC_008335"
"A_33_P3231705","ZNF677"
"A_33_P3397795","C14orf135"
"A_21_P0003774","XLOC_004091"
"A_23_P27147","ANAPC11"
"A_21_P0013256","XLOC_l2_013530"
"A_23_P201778","PTPN7"
"A_23_P35871","E2F8"
"A_23_P87591","YEATS4"
"A_21_P0002221","XLOC_001484"
"A_23_P120442","NCOA3"
"A_21_P0011461","XLOC_l2_005438"
"A_21_P0000143","DCTN5"
"A_33_P3310724",""
"A_33_P3419806","RPS29"
"A_19_P00318443","XLOC_006507"
"A_23_P930","APH1A"
"A_33_P3395581","TRIM53P"
"A_21_P0009969","XLOC_013553"
"A_23_P61371","TMEM173"
"A_23_P74887","SDC3"
"A_24_P284353","TMEM107"
"A_21_P0011167","XLOC_l2_003877"
"A_23_P5339","TMEM177"
"A_23_P19510","HLA-DQB2"
"A_24_P453497","RBM20"
"A_33_P3335522","FCRL5"
"A_33_P3254161",""
"A_23_P431179","HIST1H4A"
"A_33_P3276475","CHMP1B"
"A_21_P0002611","XLOC_001676"
"A_23_P341532","SETDB2"
"A_23_P96633","CXorf48"
"A_33_P3338360","SCARNA13"
"A_33_P3419003",""
"A_23_P80570","AADAC"
"A_33_P3671378","CERCAM"
"A_32_P42537","LOC100129407"
"A_24_P184732","PAPLN"
"A_21_P0006243","XLOC_007614"
"A_24_P16913","ABCC4"
"A_23_P210048","HDAC4"
"A_24_P230916","MIER1"
"A_21_P0004007","XLOC_004410"
"A_32_P179740","ATXN7L1"
"A_33_P3408711","FLNA"
"A_33_P3390122","GIPC2"
"A_33_P3288491","KLHL38"
"A_32_P91250","UBE2L3"
"A_21_P0004854","XLOC_005202"
"A_21_P0002869","XLOC_003208"
"A_24_P321634","ZMYM5"
"A_23_P403745","MTSS1L"
"A_23_P374902","CLDND2"
"A_33_P3252134",""
"A_23_P110005","NICN1"
"A_21_P0001845","XLOC_001393"
"A_33_P3306964","PPP1R2"
"A_33_P3218659","OR4N2"
"A_23_P138105","MED18"
"A_21_P0005376","XLOC_006080"
"A_33_P3389363","C19orf54"
"A_19_P00322315","AOX2P"
"A_32_P38645","RIMS4"
"A_21_P0008523","XLOC_010915"
"A_21_P0003895","XLOC_003962"
"A_21_P0002417","XLOC_002041"
"A_33_P3489228","PTPN20A"
"A_24_P739582",""
"A_33_P3823466","LOC157931"
"A_21_P0008656","XLOC_011313"
"A_33_P3304878","WDFY4"
"A_32_P375062","NUP210P1"
"A_33_P3241661","LOC388780"
"A_23_P73660","TRAPPC2"
"A_24_P250650","RABL2A"
"A_33_P3256660",""
"A_21_P0009397","XLOC_012324"
"A_21_P0006788","LOC100505869"
"A_21_P0006754","XLOC_008795"
"A_24_P655458","TREML4"
"A_33_P3417880","NKAPL"
"A_23_P349771","HAUS5"
"A_33_P3400903","DISC2"
"A_24_P49298","FAM149B1"
"A_33_P3346936","MON2"
"A_23_P368794","TCERG1L"
"A_23_P218706","ZNF343"
"A_33_P3317797","SLC2A5"
"A_33_P3273777","GJB7"
"A_21_P0000041","RAPGEF6"
"A_33_P3312242","CCL25"
"A_23_P258251","ENOX2"
"A_33_P3389912","LOC100130542"
"A_33_P3422294",""
"A_21_P0003570","XLOC_003453"
"A_21_P0002509","XLOC_002338"
"A_33_P3691615",""
"A_23_P356425","AXDND1"
"A_21_P0011352","WHAMMP3"
"A_23_P26629","PYCARD"
"A_23_P23221","GADD45A"
"A_33_P3249449","PRAMEF5"
"A_21_P0007334","DCDC5"
"A_33_P3309110","LOC100506713"
"A_33_P3387300","FXR1"
"A_33_P3323803","PDE4DIP"
"A_33_P3272184","LOC100131532"
"A_23_P312901","GPR112"
"A_24_P339560","SIGLEC11"
"A_24_P319684","CCDC121"
"A_21_P0007577","XLOC_009797"
"A_21_P0011933","LOC442028"
"A_21_P0011613","DNAH17"
"A_23_P128956","ZFYVE1"
"A_23_P845","TOMM40L"
"A_33_P3336925","PDLIM5"
"A_33_P3327986",""
"A_33_P3398411","RASSF3"
"A_21_P0010951","XLOC_l2_002033"
"A_21_P0007516","XLOC_009629"
"A_21_P0004463","XLOC_005072"
"A_32_P224522","SLC25A23"
"A_33_P3305487","REM2"
"A_24_P23951","BCRP2"
"A_19_P00808846","XLOC_l2_008991"
"A_21_P0005392","XLOC_006138"
"A_23_P65129","SPRYD3"
"A_23_P169437","LCN2"
"A_21_P0008786","XLOC_011590"
"A_21_P0013508","XLOC_l2_014424"
"A_33_P3237266","IDS"
"A_33_P3358844",""
"A_24_P100368","DYNLT3"
"A_23_P218784","DDX17"
"A_19_P00805452","XLOC_l2_010558"
"A_33_P3295937",""
"A_24_P166443","HLA-DPB1"
"A_24_P332971","RPL7L1"
"A_19_P00322224","FLJ16779"
"A_21_P0008282","XLOC_011088"
"A_33_P3235891",""
"A_33_P3290888","CPNE1"
"A_21_P0005127","XLOC_005419"
"A_33_P3349853",""
"A_23_P217151","ZNF673"
"A_21_P0006183","XLOC_007467"
"A_33_P3231727",""
"A_33_P3362696","RIC8B"
"A_23_P161686","ARHGAP32"
"A_21_P0014531","LOC100506536"
"A_33_P3252925","PHF17"
"A_21_P0002167","XLOC_001342"
"A_33_P3408632","LMF2"
"A_21_P0004744","XLOC_005675"
"A_24_P540057","CA5A"
"A_23_P329353","CNRIP1"
"A_23_P24077","C10orf54"
"A_33_P3417422",""
"A_21_P0006880","XLOC_008509"
"A_23_P56559","DHRS9"
"A_19_P00321068","MIAT"
"A_33_P3240244","C2CD4D"
"A_32_P163533","ZNF322"
"A_23_P131383","FANCL"
"A_33_P3275668","BAG6"
"A_21_P0012897","XLOC_l2_011987"
"A_23_P154832","ATP5J"
"A_23_P67646","GAPDHS"
"A_33_P3335177","SFRP4"
"A_33_P3289825",""
"A_24_P322474","PDE4A"
"A_23_P421401","PDGFRB"
"A_24_P396167","CTSW"
"A_21_P0002665","XLOC_002134"
"A_21_P0001990","XLOC_001944"
"A_33_P3374318",""
"A_33_P3355739","UMODL1"
"A_21_P0000020","RBM19"
"A_21_P0000486","SNORD103A"
"A_21_P0002137","XLOC_002473"
"A_33_P3259423","WDR55"
"A_21_P0003793","XLOC_004153"
"A_33_P3245699",""
"A_19_P00322164","LOC285401"
"A_33_P3407445","FLJ33630"
"A_32_P52119",""
"A_33_P3222659","AGSK1"
"A_24_P934387","SLC5A12"
"A_24_P354724","TAGAP"
"A_21_P0014515","LOC100507390"
"A_33_P3353372",""
"A_21_P0002779","XLOC_002867"
"A_21_P0013241","XLOC_l2_013481"
"A_21_P0004747","XLOC_005713"
"A_24_P381505","GLIPR1L2"
"A_33_P3270668","FAM131B"
"A_23_P20683","KIAA0020"
"A_23_P122174","XRCC4"
"A_24_P77681","PAIP1"
"A_23_P331700","SRRM3"
"A_24_P101786","THADA"
"A_23_P320021","TULP1"
"A_23_P31816","DEFA3"
"A_33_P3330608","PRAM1"
"A_23_P256716","SMARCA5"
"A_33_P3343690","FDX1"
"A_21_P0008302","XLOC_010775"
"A_33_P3258782","AP1S2"
"A_24_P186986",""
"A_33_P3289034","PKD2L1"
"A_33_P3291939","CNGA3"
"A_33_P3287907","LOC728723"
"A_23_P400465","GTF3C6"
"A_32_P210872","HEPN1"
"A_23_P379630","SLC38A10"
"A_33_P3335999","B4GALT3"
"A_33_P3341189","UBE2A"
"A_21_P0011115","XLOC_l2_003414"
"A_33_P3304157","COL19A1"
"A_23_P219117","EPB49"
"A_33_P3238815","FRMD5"
"A_23_P160406","KCTD3"
"A_21_P0006671","XLOC_008452"
"A_33_P3378360","PRELID1"
"A_21_P0011792","XLOC_l2_007191"
"A_23_P100883","SUZ12"
"A_33_P3380236",""
"A_23_P210619","C20orf43"
"A_23_P152055","EFTUD1"
"A_23_P141208","DHRS7B"
"A_23_P38813","ZNF320"
"A_33_P3365710","ATP6V0D1"
"A_23_P13701","TMBIM4"
"A_23_P388780","DMAP1"
"A_21_P0003885","LRPAP1"
"A_21_P0007271","XLOC_009266"
"A_24_P601972","C2orf74"
"A_21_P0011229","LINC00371"
"A_21_P0008778","XLOC_011573"
"A_33_P3220105","LOC644246"
"A_24_P46093","SLC6A6"
"A_21_P0005921","XLOC_006686"
"A_21_P0009413","XLOC_012568"
"A_21_P0001075","XLOC_000617"
"A_21_P0002796","XLOC_002909"
"A_23_P75071","KIF20B"
"A_24_P173124","FLCN"
"A_33_P3374623","ABCA7"
"A_33_P3299619","OR1L1"
"A_21_P0000591","SNORA70F"
"A_21_P0005614","LOC157381"
"A_23_P402952","CTAGE15P"
"A_21_P0010219","XLOC_014132"
"A_33_P3344127","HIST1H2AC"
"A_21_P0013858","TMLHE"
"A_23_P104098","SYT2"
"A_21_P0010851","XLOC_l2_001826"
"A_33_P3281552","RPGR"
"A_21_P0009623","XLOC_012769"
"A_33_P3212117",""
"A_23_P100189","PRM1"
"A_21_P0000247","SNORD18C"
"A_21_P0004610","XLOC_005740"
"A_23_P134650","PTCD1"
"A_21_P0002023","XLOC_001999"
"A_33_P3331641","ZNF503-AS2"
"A_33_P3389802",""
"A_21_P0005337","LOC401410"
"A_21_P0007134","XLOC_009399"
"A_23_P35916","ATM"
"A_23_P372994","H1FOO"
"A_21_P0000874","LOC100507299"
"A_21_P0002424","XLOC_002055"
"A_33_P3402943","LOC100128591"
"A_21_P0011995","XLOC_l2_007184"
"A_21_P0005499","XLOC_006462"
"A_23_P150931","LMBR1L"
"A_21_P0011379","XLOC_l2_004954"
"A_33_P3253070","MED23"
"A_21_P0011826","XLOC_l2_007449"
"A_33_P3269879","FAM160B2"
"A_33_P3387771","USP9X"
"A_24_P181672","B3GNTL1"
"A_21_P0006049","XLOC_007545"
"A_23_P34968","SCNM1"
"A_21_P0001835","XLOC_001368"
"A_33_P3231771","PPP1R2P3"
"A_33_P3333642",""
"A_24_P98277","GOLGA7"
"A_24_P159635","LIMD2"
"A_21_P0003100","XLOC_003044"
"A_23_P422831","FAM189A2"
"A_23_P171223","CXorf56"
"A_21_P0003023","XLOC_002792"
"A_32_P39444","GAFA1"
"A_21_P0008501","XLOC_011152"
"A_23_P385081","SCAMP2"
"A_21_P0005542","XLOC_006645"
"A_23_P50775","LRFN3"
"A_19_P00319019","SNHG5"
"A_33_P3232047","TMEM14B"
"A_33_P3237220","FBXO24"
"A_23_P216376","CNGB3"
"A_21_P0001561","XLOC_000943"
"A_21_P0011896","XLOC_l2_007834"
"A_19_P00319990","LOC100506948"
"A_21_P0005717","XLOC_006838"
"A_21_P0006764","XLOC_008827"
"A_23_P127663","PRRG4"
"A_23_P500873","RAD51D"
"A_21_P0006995","LOC100506769"
"A_19_P00808453","COX5A"
"A_19_P00317819","XLOC_002977"
"A_33_P3304172","MUC6"
"A_33_P3249002",""
"A_24_P52887","ENDOU"
"A_21_P0008902","XLOC_011635"
"A_33_P3364338",""
"A_21_P0000742","MYLK-AS1"
"A_21_P0008629","XLOC_011235"
"A_21_P0010439","XLOC_014366"
"A_23_P314115","BMI1"
"A_21_P0009605","XLOC_012664"
"A_33_P3324860","ETV3"
"A_33_P3344911","PTPRQ"
"A_19_P00318112","Q6NT14"
"A_21_P0011590","XLOC_l2_006080"
"A_33_P3392447","BCL10"
"A_32_P209989","MRPL46"
"A_33_P3251856",""
"A_33_P3362088","P2RX4"
"A_23_P48596","RNASE1"
"A_33_P3215023","C6orf89"
"A_33_P3303302",""
"A_33_P3282744",""
"A_21_P0004168","XLOC_004960"
"A_21_P0014298","LOC100288997"
"A_23_P347508","SELRC1"
"A_21_P0001166","XLOC_000977"
"A_33_P3365924",""
"A_23_P316064","ZACN"
"A_23_P85265","SRY"
"A_23_P132595","VGLL4"
"A_24_P131522","ANTXR1"
"A_33_P3323101","ZNF33A"
"A_24_P516246","FLJ12825"
"A_33_P3369520","MAGI3"
"A_32_P109794","STYX"
"A_32_P227605","RGS9BP"
"A_21_P0006669","XLOC_008447"
"A_24_P13024","SLC16A12"
"A_33_P3677559","LOC285778"
"A_32_P191840","LOC644662"
"A_23_P37983","MT1B"
"A_33_P3272628","FCER1G"
"A_33_P3241681","CDKL2"
"A_23_P43119","PSKH2"
"A_21_P0006968","SFTA1P"
"A_21_P0011639","XLOC_l2_006027"
"A_21_P0006495","XLOC_007974"
"A_21_P0004575","XLOC_005052"
"A_23_P46539","PSRC1"
"A_21_P0005510","XLOC_006512"
"A_23_P131825","TNNC2"
"A_33_P3413759","ACER2"
"A_21_P0007184","XLOC_009084"
"A_21_P0008400","XLOC_010948"
"A_24_P84401",""
"A_23_P213093","OCIAD1"
"A_33_P3403927","SAMD10"
"A_33_P3877992","LOC286190"
"A_21_P0001060","XLOC_000557"
"A_21_P0004612","XLOC_005773"
"A_21_P0002822","XLOC_002968"
"A_21_P0005500","XLOC_006483"
"A_23_P254254","SGSH"
"A_32_P24709","ZNF642"
"A_23_P33022","POLR2L"
"A_23_P63432","RHBDL2"
"A_33_P3343007",""
"A_23_P391607","ARRDC1"
"A_23_P171054","ELK1"
"A_33_P3370454","DEFB108B"
"A_23_P341700","ZNF484"
"A_21_P0000965","XLOC_000144"
"A_33_P3222524",""
"A_23_P373464","AFF3"
"A_32_P54242","LCORL"
"A_33_P3646051","LOC284408"
"A_21_P0010613","XLOC_l2_000902"
"A_23_P37654","MGA"
"A_21_P0003653","XLOC_003697"
"A_33_P3257392",""
"A_21_P0011297","HERC2P9"
"A_21_P0010755","RNF123"
"A_33_P3251205",""
"A_23_P253200","RPL15"
"A_33_P3226800",""
"A_21_P0006071","XLOC_007669"
"A_24_P414786","CDC40"
"A_32_P52330","LOC113230"
"A_33_P3362616","PRR3"
"A_33_P3407434","LOC100653224"
"A_21_P0014362","LOC100506643"
"A_23_P104617","GYLTL1B"
"A_33_P3392807","TAF1B"
"A_33_P3395008","ACOXL"
"A_21_P0009149","XLOC_012296"
"A_33_P3209894",""
"A_23_P85269","TTN"
"A_21_P0010253","XLOC_013952"
"A_23_P52676","CATSPER1"
"A_33_P3342295","VSX1"
"A_32_P159192",""
"A_33_P3412560",""
"A_21_P0001186","XLOC_001077"
"A_33_P3575854","LOC642361"
"A_33_P3323975",""
"A_33_P3603812","FRMD8"
"A_33_P3346331",""
"A_33_P3395675",""
"A_32_P151544","KRT18"
"A_23_P323751","FAM83D"
"A_33_P3397658","SYNPO"
"A_33_P3279515","LOC729451"
"A_21_P0009242","XLOC_012184"
"A_23_P422794","NSMCE2"
"A_33_P3368706","NFYC"
"A_21_P0004777","XLOC_005844"
"A_21_P0009957","XLOC_013531"
"A_21_P0007817","XLOC_009637"
"A_23_P251974","ZFYVE9"
"A_23_P46215","TRIM46"
"A_21_P0001295","XLOC_000186"
"A_21_P0004884","XLOC_005302"
"A_21_P0009992","XLOC_013612"
"A_21_P0007052","LOC731789"
"A_21_P0004494","XLOC_004325"
"A_33_P3234490","BOLA2B"
"A_23_P60028","TCEB1"
"A_21_P0002731","XLOC_002603"
"A_33_P3248519","SMC4"
"A_21_P0013098","XLOC_l2_013125"
"A_21_P0004156","XLOC_004928"
"A_33_P3350232",""
"A_32_P191262","ACR"
"A_23_P114405","MORF4L2"
"A_23_P99275","KLRB1"
"A_23_P151497","TRMT61A"
"A_21_P0008603","XLOC_011189"
"A_21_P0000681","LIMS3-LOC440895"
"A_21_P0006991","XLOC_008810"
"A_23_P76918","TIMM9"
"A_21_P0003668","XLOC_003752"
"A_33_P3222210","FAM108A1"
"A_23_P327426","TIPRL"
"A_32_P932089","PCDHB19P"
"A_33_P3257590",""
"A_21_P0008464","XLOC_011080"
"A_23_P93629","TRIM24"
"A_24_P193093","KLRK1"
"A_33_P3245126",""
"A_23_P68807",""
"A_33_P3218783","ANK3"
"A_21_P0003857","XLOC_003772"
"A_23_P213863","FAM193B"
"A_23_P210379","ARFGAP1"
"A_23_P83714","ZNF707"
"A_24_P623782","FRG2"
"A_21_P0010338","XLOC_014134"
"A_33_P3349474",""
"A_21_P0012139","XLOC_l2_008802"
"A_33_P3272402","ADAD2"
"A_33_P3318227",""
"A_33_P3365082","OR2G6"
"A_33_P3315824",""
"A_23_P398172","FAM135A"
"A_24_P287043","IFITM2"
"A_21_P0005904","XLOC_007214"
"A_24_P338145","STOML2"
"A_21_P0002551","XLOC_002530"
"A_24_P112750","TFCP2"
"A_21_P0013054","XLOC_l2_012844"
"A_21_P0011318","XLOC_l2_004640"
"A_23_P146077","ZNF395"
"A_33_P3403270","CCDC33"
"A_21_P0013680","XLOC_l2_015322"
"A_24_P169574","LOC649395"
"A_23_P312837","GLIS3-AS1"
"A_19_P00319625","LOC729178"
"A_33_P3355877","NFXL1"
"A_21_P0012916","XLOC_l2_012135"
"A_33_P3258923","MKRN3"
"A_21_P0008334","XLOC_010826"
"A_23_P256059","FLJ43681"
"A_24_P138713","HEATR3"
"A_24_P250765","PRKG1"
"A_33_P3375127","LOC100131581"
"A_33_P3277075","GABRB3"
"A_33_P3294159","CALY"
"A_33_P3210653","OR51A4"
"A_33_P3288995","AP1S3"
"A_21_P0010136","XLOC_014093"
"A_24_P185186","SAMD14"
"A_33_P3226492",""
"A_21_P0001961","XLOC_001834"
"A_24_P940275","FRMPD4"
"A_21_P0007968","XLOC_010503"
"A_33_P3225268","QSOX1"
"A_33_P3317473",""
"A_21_P0004895","XLOC_005338"
"A_23_P116898","A2M"
"A_33_P3404706","SPN"
"A_21_P0011787","XLOC_l2_007167"
"A_23_P80902","KIF15"
"A_21_P0001348","XLOC_000308"
"A_33_P3345469","GPR6"
"A_33_P3224181",""
"A_33_P3278103",""
"A_23_P92161","ARL14"
"A_21_P0011644","LINC00483"
"A_21_P0014606","LOC100506950"
"A_33_P3348224","SEC14L6"
"A_21_P0009460","XLOC_012632"
"A_33_P3386566","AGBL4"
"A_24_P304423","IGF1"
"A_23_P35066","SNX7"
"A_21_P0012501","XLOC_l2_009899"
"A_21_P0010663","XLOC_l2_001206"
"A_24_P297551","FAM19A2"
"A_23_P82299","PPP1R35"
"A_24_P942068","TANC2"
"A_21_P0012573","XLOC_l2_010586"
"A_33_P3279831","PNRC1"
"A_21_P0007923","XLOC_010297"
"A_32_P1173","MB21D1"
"A_21_P0011287","XLOC_l2_004556"
"A_23_P42684","FLJ20712"
"A_23_P346302","ZMAT2"
"A_23_P28042","ZNF737"
"A_21_P0013915","LOC100130445"
"A_24_P130026","BAG5"
"A_23_P71830","ZBTB26"
"A_23_P43197","CALB1"
"A_33_P3209391","LOC729681"
"A_33_P3347622","MOB1B"
"A_23_P120364","PPDPF"
"A_33_P3417123","LOC652119"
"A_21_P0012372","LOC645206"
"A_33_P3330881","OR6C75"
"A_23_P45396","HSD17B10"
"A_33_P3349259","FAM115A"
"A_21_P0013105","XLOC_l2_013149"
"A_33_P3377190","LOC100131662"
"A_23_P87973","TRIM13"
"A_19_P00319557","XLOC_l2_008760"
"A_23_P90089","GCDH"
"A_21_P0003962","XLOC_004278"
"A_33_P3316470","OR6B1"
"A_24_P67898","MGEA5"
"A_21_P0014745","LOC100652924"
"A_21_P0012136","XLOC_l2_008755"
"A_24_P54808","KLHL8"
"A_23_P11507","ZZZ3"
"A_21_P0006325","XLOC_007866"
"A_33_P3364373","KRTAP5-2"
"A_23_P83923","ZNF672"
"A_33_P3334155","LOC100652791"
"A_21_P0013370","XLOC_l2_013301"
"A_33_P3406899","TRAK1"
"A_23_P45945","EIF1"
"A_33_P3342953",""
"A_33_P3312819","IGF2-AS"
"A_33_P3391390",""
"A_21_P0005747","XLOC_006892"
"A_33_P3407994",""
"A_33_P3376302",""
"A_21_P0010020","XLOC_013687"
"A_33_P3368560","AHSA2"
"A_23_P124733","COQ2"
"A_21_P0003761","XLOC_004054"
"A_21_P0009373","XLOC_012065"
"A_33_P3316903",""
"A_21_P0000531","LOC148824"
"A_23_P434347","ITSN2"
"A_33_P3309725",""
"A_23_P73801","TCEAL1"
"A_21_P0011308","LOC100288637"
"A_23_P428887","KLHL34"
"A_33_P3241786","ADD2"
"A_21_P0008011","XLOC_010685"
"A_21_P0010542","XLOC_l2_000342"
"A_33_P3391736",""
"A_24_P337239","FGF5"
"A_24_P171058","TMEM64"
"A_33_P3332112","FAS"
"A_21_P0006265","XLOC_007686"
"A_33_P3549996",""
"A_23_P208416","SLC35E1"
"A_24_P250227","NR1D1"
